"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2F5e0000005573EAA","","Loan Compliance Information Section","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UukEAE","false","false","false","true","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42998410044192082","LLC_BI__Product_Package__c","","","","","","false","false",""
"a2F5e0000005574EAA","","Loan Compliance Exposure Section","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UukEAE","false","false","false","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42285448724779595","LLC_BI__Product_Package__c","","","","","","false","false",""
"a2F5e0000005575EAA","","Review Detail","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UumEAE","false","false","false","true","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42689391096569555","LLC_BI__Product_Package__c","","","","","","false","false",""
"a2F5e0000005576EAA","","Account Proforma Options","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UunEAE","false","false","true","true","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42993158429096995","Account","","","","","","false","false",""
"a2F5e0000005577EAA","","Scenario Proforma Options","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UunEAE","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42484242823048594","LLC_BI__Scenario__c","","","","","","false","false",""
"a2F5e000000557KEAQ","","UI Collateral Record Schedule","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UulEAE","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42151136547775130","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000557LEAQ","","UI Related Pledged Collateral Schedule","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UulEAE","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42276061206063379","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000559sEAA","","Product Package Total Exposure Summary","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuQEAU","false","false","false","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42777889548352619","LLC_BI__Product_Package__c","","","","6.0","","false","false",""
"a2F5e000000559tEAA","","Product Package Add Debt","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuQEAU","false","false","false","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42058428944747903","LLC_BI__Debt__c","","","","","","false","false",""
"a2F5e000000559uEAA","","Product Package Exposure Exclusion Enable","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuQEAU","false","false","false","true","false","2.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42991579135072105","LLC_BI__Excluded_Exposure__c","","","","","","false","false",""
"a2F5e000000559vEAA","","Product Package Exposure Exclusion Disable","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuQEAU","false","false","false","true","false","3.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42965914109707846","LLC_BI__Excluded_Exposure__c","","","","","","false","false",""
"a2F5e000000559wEAA","","Expand Loan Product Package","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuQEAU","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42096647977603814","LLC_BI__Legal_Entities__c","","","","6.0","","false","false",""
"a2F5e000000559xEAA","","Expand Debt Product Package","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuQEAU","false","false","false","true","false","5.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42401935871828525","LLC_BI__Debt__c","","","","6.0","","false","false",""
"a2F5e00000055ALEAY","","Approval Information","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:05:22.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UxVEAU","false","false","false","true","false","30.0","slide","true","false","false","true","","true","","a2I5e000000df2rEAA","MappedSObjectScreenResource","","63563624523452345","LLC_BI__Product_Package__c","a2F5e00000055LLEAY","","","","","false","false",""
"a2F5e00000055DaEAI","","Package Information","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:41.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UxVEAU","false","false","false","true","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42180231544515211","LLC_BI__Product_Package__c","a2F5e00000055LqEAI","","","","","false","false",""
"a2F5e00000055DbEAI","","Exposure","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:41.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UxVEAU","false","false","false","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42069518347320424","LLC_BI__Product_Package__c","a2F5e00000055LrEAI","","","","","false","false",""
